formation_index	power	config	unrunnable	surprise_chance	enemy_1	enemy_1_min	enemy_1_max	enemy_2	enemy_2_min	enemy_2_max	enemy_3	enemy_3_min	enemy_3_max	enemy_4	enemy_4_min	enemy_4_max
0x108	0	DoS Boss	yes	4	Rubicante\x00	1	1	None	0	0	None	0	0	None	0	0	
0x109	0	DoS Boss	yes	4	Gilgamesh\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10a	0	DoS Boss	yes	4	Omega\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10b	0	DoS Boss	yes	4	Shinryu\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10c	0	DoS Boss	yes	4	Atomos\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10d	0	DoS Boss	yes	4	Typhon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10e	0	DoS Boss	yes	4	Orthros\x00	1	1	None	0	0	None	0	0	None	0	0	
0x10f	0	DoS Boss	yes	4	Phantom Train\x00	1	1	None	0	0	None	0	0	None	0	0	
0x110	0	DoS Boss	yes	4	Death Gaze\x00	1	1	None	0	0	None	0	0	None	0	0	
0x111	2400	Large	no	4	Earth Troll\x00	1	2	None	0	0	None	0	0	None	0	0	
0x112	3700	Large	no	27	Earth Troll\x00	1	2	Sekhret\x00	0	1	None	0	0	None	0	0	
0x113	8880	Large	no	33	Earth Plant\x00	1	2	None	0	0	None	0	0	None	0	0	
0x114	8000	Large	yes	4	Abyss Worm\x00	1	2	None	0	0	None	0	0	None	0	0	
0x115	2500	Large	no	4	Undergrounder\x00	1	1	None	0	0	None	0	0	None	0	0	
0x116	600	Large	no	4	Yellow Ogre\x00	1	2	None	0	0	None	0	0	None	0	0	
0x117	1200	Large	no	4	Yellow Ogre\x00	1	4	None	0	0	None	0	0	None	0	0	
0x118	2400	Large	no	4	Yellow Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x119	1450	Large/Small	yes	4	Elm Gigas\x00	1	1	Dark Wolf\x00	0	2	None	0	0	None	0	0	
0x11a	1700	Large	no	4	Elm Gigas\x00	1	2	None	0	0	None	0	0	None	0	0	
0x11b	2550	Large	no	4	Elm Gigas\x00	1	3	None	0	0	None	0	0	None	0	0	
0x11c	3000	Large	no	27	Catoblepas\x00	1	2	None	0	0	None	0	0	None	0	0	
0x11d	4500	Large	no	27	Catoblepas\x00	1	3	None	0	0	None	0	0	None	0	0	
0x11e	3055	Large	no	4	Killer Shark\x00	1	1	Dark Eye\x00	0	1	None	0	0	None	0	0	
0x11f	5000	Large	no	4	Killer Shark\x00	1	2	None	0	0	None	0	0	None	0	0	
0x120	280	Small	no	4	Gloom Widow\x00	1	2	None	0	0	None	0	0	None	0	0	
0x121	420	Small	no	4	Gloom Widow\x00	1	3	None	0	0	None	0	0	None	0	0	
0x122	560	Small	no	4	Gloom Widow\x00	2	4	None	0	0	None	0	0	None	0	0	
0x123	1120	Small	no	4	Gloom Widow\x00	4	8	None	0	0	None	0	0	None	0	0	
0x124	5500	Large/Small	no	4	Sahagin Queen\x00	0	1	Killer Shark\x00	1	2	None	0	0	None	0	0	
0x125	4000	Small	yes	4	Sahagin Queen\x00	5	8	None	0	0	None	0	0	None	0	0	
0x126	5750	Small	no	4	Reaper\x00	1	5	Revenant\x00	0	3	None	0	0	None	0	0	
0x127	4000	Small	no	4	Reaper\x00	2	4	None	0	0	None	0	0	None	0	0	
0x128	6000	Small	no	4	Reaper\x00	2	6	None	0	0	None	0	0	None	0	0	
0x129	1800	Large	no	4	Silver Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x12a	3600	Large	no	4	Silver Dragon\x00	1	2	None	0	0	None	0	0	None	0	0	
0x12b	532	Small	no	4	Skuldier\x00	2	4	None	0	0	None	0	0	None	0	0	
0x12c	1265	Small	no	4	Skuldier\x00	3	5	Flood Gigas\x00	0	2	None	0	0	None	0	0	
0x12d	2664	Small	yes	33	Squidraken\x00	1	3	None	0	0	None	0	0	None	0	0	
0x12e	3552	Small	yes	33	Squidraken\x00	2	4	None	0	0	None	0	0	None	0	0	
0x12f	6216	Small	yes	33	Squidraken\x00	3	7	None	0	0	None	0	0	None	0	0	
0x130	2600	Large	no	27	Sekhret\x00	1	2	None	0	0	None	0	0	None	0	0	
0x131	555	Large	yes	4	Dark Eye\x00	1	1	None	0	0	None	0	0	None	0	0	
0x132	1500	Large	no	27	Dark Elemental\x00	1	1	None	0	0	None	0	0	None	0	0	
0x133	3000	Large	no	27	Dark Elemental\x00	1	2	None	0	0	None	0	0	None	0	0	
0x134	1000	Small	no	27	Desertpede\x00	2	4	None	0	0	None	0	0	None	0	0	
0x135	2259	Small	yes	4	Death Elemental\x00	1	3	None	0	0	None	0	0	None	0	0	
0x136	3012	Small	yes	4	Death Elemental\x00	2	4	None	0	0	None	0	0	None	0	0	
0x137	3200	Large	no	4	Death Manticore\x00	3	4	None	0	0	None	0	0	None	0	0	
0x138	3800	Small	no	75	Devil Wizard\x00	1	1	None	0	0	None	0	0	None	0	0	
0x139	7600	Small	no	75	Devil Wizard\x00	1	2	None	0	0	None	0	0	None	0	0	
0x13a	300	Large	no	55	Devil Hound\x00	1	1	None	0	0	None	0	0	None	0	0	
0x13b	600	Large	no	55	Devil Hound\x00	1	2	None	0	0	None	0	0	None	0	0	
0x13c	2200	Large/Small	no	4	Duel Knight\x00	1	1	Unicorn\x00	1	2	None	0	0	None	0	0	
0x13d	2400	Small	no	4	Duel Knight\x00	1	2	None	0	0	None	0	0	None	0	0	
0x13e	6000	Small	no	4	Duel Knight\x00	2	5	None	0	0	None	0	0	None	0	0	
0x13f	2500	Small	no	4	Knocker\x00	1	5	None	0	0	None	0	0	None	0	0	
0x140	1000	Large	no	4	Mad Ogre\x00	1	1	None	0	0	None	0	0	None	0	0	
0x141	800	Small	no	4	Python\x00	2	4	None	0	0	None	0	0	None	0	0	
0x142	1200	Small	no	4	Python\x00	2	6	None	0	0	None	0	0	None	0	0	
0x143	1400	Small	no	4	Python\x00	3	7	None	0	0	None	0	0	None	0	0	
0x144	4000	Large	no	4	Hundlegs\x00	1	4	None	0	0	None	0	0	None	0	0	
0x145	4000	Small	no	4	Poison Eagle\x00	4	8	None	0	0	None	0	0	None	0	0	
0x146	3084	Small	no	4	Pharaoh\x00	1	2	None	0	0	None	0	0	None	0	0	
0x147	1500	Small	no	4	Dark Wolf\x00	2	5	None	0	0	None	0	0	None	0	0	
0x148	2100	Small	no	4	Dark Wolf\x00	3	7	None	0	0	None	0	0	None	0	0	
0x149	6600	Large/Small	no	33	Black Goblin\x00	0	5	Dark Wolf\x00	1	3	Elm Gigas\x00	0	2	Catoblepas\x00	0	2	
0x14a	1800	Small	no	4	Black Goblin\x00	1	4	Knocker\x00	0	2	None	0	0	None	0	0	
0x14b	1000	Small	no	4	Black Goblin\x00	1	5	None	0	0	None	0	0	None	0	0	
0x14c	1480	Small	no	33	Black Goblin\x00	2	5	Wild Nakk\x00	0	2	None	0	0	None	0	0	
0x14d	6000	Large	yes	4	Black Dragon\x00	1	2	None	0	0	None	0	0	None	0	0	
0x14e	2000	Large	yes	4	Bloody Eye\x00	1	1	None	0	0	None	0	0	None	0	0	
0x14f	900	Large	no	27	Blood Tiger\x00	1	3	None	0	0	None	0	0	None	0	0	
0x150	680	Large	no	4	Blue Troll\x00	1	2	None	0	0	None	0	0	None	0	0	
0x151	1080	Large/Small	no	4	Blue Troll\x00	1	2	Python\x00	0	2	None	0	0	None	0	0	
0x152	4000	Large	no	4	Flare Gigas\x00	1	2	None	0	0	None	0	0	None	0	0	
0x153	2000	Small	no	4	Prototype\x00	1	1	None	0	0	None	0	0	None	0	0	
0x154	1713	Large/Small	no	4	Poison Naga\x00	1	1	Death Elemental\x00	0	1	None	0	0	None	0	0	
0x155	22020	Large	no	4	Holy Dragon\x00	2	4	None	0	0	None	0	0	None	0	0	
0x156	1332	Small	no	4	Bonesnatch\x00	1	1	Skuldier\x00	2	4	Flood Gigas\x00	1	1	None	0	0	
0x157	1532	Small	no	4	Bonesnatch\x00	1	2	Skuldier\x00	2	4	None	0	0	None	0	0	
0x158	1500	Small	no	4	Bonesnatch\x00	1	3	None	0	0	None	0	0	None	0	0	
0x159	2000	Small	no	4	Bonesnatch\x00	2	4	None	0	0	None	0	0	None	0	0	
0x15a	6000	Large	no	4	Mythril Golem\x00	1	1	None	0	0	None	0	0	None	0	0	
0x15b	5000	Large	no	4	Mage Chimera\x00	1	1	None	0	0	None	0	0	None	0	0	
0x15c	4050	Large	no	4	Yamatano Orochi\x00	1	1	None	0	0	None	0	0	None	0	0	
0x15d	8100	Large	no	4	Yamatano Orochi\x00	1	2	None	0	0	None	0	0	None	0	0	
0x15e	6250	Small	no	55	Red Flan\x00	2	5	Gloom Widow\x00	0	5	None	0	0	None	0	0	
0x15f	6660	Small	no	4	Red Flan\x00	3	6	None	0	0	None	0	0	None	0	0	
0x160	1250	Small	no	4	Revenant\x00	1	5	None	0	0	None	0	0	None	0	0	
0x161	750	Small	no	4	Revenant\x00	2	3	None	0	0	None	0	0	None	0	0	
0x162	360	Small	no	4	Rock Gargoyle\x00	2	3	None	0	0	None	0	0	None	0	0	
0x163	600	Small	no	4	Rock Gargoyle\x00	2	5	None	0	0	None	0	0	None	0	0	
0x164	960	Small	no	4	Rock Gargoyle\x00	3	8	None	0	0	None	0	0	None	0	0	
0x165	1440	Small	no	33	Wild Nakk\x00	2	6	None	0	0	None	0	0	None	0	0	
0x166	1920	Small	no	33	Wild Nakk\x00	4	8	None	0	0	None	0	0	None	0	0	
0x167	2904	Large	yes	4	Red Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x168	1701	Large	yes	4	White Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x169	4068	Large	yes	4	Green Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16a	3274	Large	yes	4	Blue Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16b	2331	Large	yes	4	Dragon Zombie\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16c	2400	Large	yes	4	Yellow Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16d	5505	Large	yes	4	Holy Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16e	3000	Large	yes	4	Black Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x16f	1800	Large	yes	4	Silver Dragon\x00	1	1	None	0	0	None	0	0	None	0	0	
0x170	1542	Small	no	4	Pharaoh\x00	1	1	None	0	0	None	0	0	None	0	0	
